Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
I Pledge My Love,At Their Best,1995-03-14,['Peaches & Herb'],"soul, funk, post-disco, classic soul, quiet storm, disco",1980,80,255000,40,0.654,0.524,0.33,0.0,0.0635,-14.264,0.0297,179.598,0.553,5,1,3
Don't Be Cruel (In the Style of Cheap Trick) [Karaoke Version],"Karaoke Hits from 1988, Vol. 4",2013-05-16,['Ameritz Countdown Karaoke'],karaoke,1988,70,184845,0,0.00428,0.618,0.466,0.86,0.102,-11.549,0.0494,169.774,0.714,9,1,4
Always Be My Baby,Daydream,1995-10-03,['Mariah Carey'],"urban contemporary, dance pop, pop",1996,5,258133,75,0.457,0.65,0.531,0.0,0.249,-8.335,0.0364,78.946,0.487,4,1,4
Con Calma,Con Calma,2019-01-24,"['Daddy Yankee', 'Snow']","urbano latino, latin hip hop, canadian old school hip hop, reggae fusion, trap latino, reggaeton",2019,65,193226,80,0.11,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,0.656,8,0,4
Don't Know Why - In the Style of Norah Jones (Karaoke Version Teaching Vocal),Karaoke - R&B/Hip-Hop February 2003,2010-02-01,['ProTracks (Karaoke)'],karaoke,2003,97,189146,0,0.776,0.686,0.167,0.000673,0.108,-13.563,0.0348,176.159,0.396,5,1,4
Maniac,Flashdance (Original Soundtrack From The Motion Picture),1983-04-11,['Michael Sembello'],hi-nrg,1983,9,244706,79,0.0891,0.617,0.533,4.04e-06,0.0415,-11.516,0.0651,158.86,0.835,3,0,4
The Promise,When In Rome,1988-01-01,['When In Rome'],"new wave, synthpop, new romantic",1989,83,220960,70,0.0864,0.629,0.876,7.72e-05,0.0431,-10.141,0.0444,118.01,0.358,0,1,4
Groovin',Hip Hug-Her,,"[""Booker T. & the M.G.'s""]","instrumental soul, classic soul, instrumental funk, memphis soul, blues, southern soul, soul",1967,72,163800,29,0.318,0.723,0.228,0.725,0.159,-17.689,0.0328,107.371,0.839,4,1,4
You Ain't Seen Nothing Yet,Not Fragile,,['Bachman-Turner Overdrive'],"country rock, hard rock, rock, folk rock, album rock, soft rock, mellow gold, classic canadian rock, singer-songwriter, classic rock",1975,98,234866,72,0.000146,0.475,0.439,0.000277,0.223,-15.039,0.0427,118.392,0.76,11,0,4
Can't Hold Us (feat. Ray Dalton),The Heist,2012-10-09,"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Ray Dalton']","pop rap, seattle hip hop",2013,5,258342,83,0.0291,0.641,0.922,0.0,0.0862,-4.457,0.0786,146.078,0.847,2,1,4
Lonely People,Holiday,,['America'],"heartland rock, folk rock, album rock, soft rock, mellow gold, classic rock",1975,83,150226,64,0.261,0.557,0.473,3.95e-05,0.0658,-9.294,0.0262,79.368,0.56,7,1,4
Down,ACT ONE,2016-06-24,['Marian Hill'],electropop,2017,90,197773,58,0.675,0.678,0.357,0.00569,0.124,-14.712,0.128,113.301,0.0661,0,0,5
Just the Way You Are,Doo-Wops & Hooligans,2010-10-05,['Bruno Mars'],"pop, dance pop",2011,15,220734,84,0.0134,0.635,0.841,0.0,0.0622,-5.379,0.0422,109.021,0.424,5,1,4
Killing Me Softly With His Song,Killing Me Softly,1973-01-01,['Roberta Flack'],"soul, vocal jazz, quiet storm, soft rock, adult standards, disco",1973,3,286920,73,0.727,0.476,0.381,0.0,0.0614,-10.238,0.0342,121.948,0.33,5,0,4
Too Much,Spiceworld,1997-01-01,['Spice Girls'],"girl group, dance pop, pop",1998,69,271933,58,0.484,0.333,0.631,0.0,0.332,-4.992,0.0461,80.14,0.342,2,1,4
If You Could Read My Mind,If You Could Read My Mind,,['Gordon Lightfoot'],"canadian country, heartland rock, country rock, canadian singer-songwriter, folk, folk rock, soft rock, mellow gold, singer-songwriter, classic rock",1971,36,228840,70,0.745,0.612,0.24,7.86e-05,0.115,-12.821,0.033,122.565,0.223,9,1,4
Goodbye Girl,Goodbye Girl,,['David Gates'],soft rock,1978,47,168866,63,0.605,0.467,0.255,0.00031,0.273,-15.963,0.0372,120.174,0.243,8,0,4
Me and You and a Dog Named Boo,I'd Love You To Want Me,1996-04-19,['Lobo'],soft rock,1971,59,177933,56,0.178,0.628,0.603,1.73e-05,0.0686,-10.286,0.0312,120.782,0.951,6,1,4
