Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Bodak Yellow,Invasion of Privacy,2018-04-06,['Cardi B'],"pop, rap",2017,24,223712,75,0.0659,0.926,0.703,0.0,0.231,-6.337,0.103,125.022,0.485,11,0,4
Rock Me Tonite,Signs Of Life,,['Billy Squier'],"heartland rock, glam metal, hard rock, rock, album rock, soft rock, southern rock, classic rock",1984,99,297266,50,0.0987,0.472,0.724,0.0,0.239,-5.061,0.0522,127.36,0.673,9,0,4
Mercy,Illuminate (Deluxe),2017-04-20,['Shawn Mendes'],"viral pop, pop, canadian pop",2017,54,208733,82,0.125,0.555,0.662,0.0,0.111,-4.952,0.0827,148.128,0.356,11,0,4
The Ballroom Blitz,Glitz Blitz & Hitz,,"[""Andy Scott's Sweet""]",,1975,17,246600,34,0.00442,0.617,0.81,0.000614,0.0288,-12.057,0.0656,109.064,0.684,9,1,4
Please Help Me I'm Falling,Please Help Me I'm Falling,1996-01-01,['Hank Locklin'],nashville sound,1960,47,144866,47,0.731,0.557,0.388,0.0,0.306,-9.464,0.0259,107.951,0.504,7,1,4
Ring My Bell,Ring My Bell,2005-09-26,['Anita Ward'],disco,1979,9,491933,63,0.0661,0.781,0.556,0.0907,0.0339,-13.067,0.0611,125.999,0.968,5,0,4
The Long Run - 2013 Remaster,The Long Run (2013 Remaster),,['Eagles'],"heartland rock, rock, yacht rock, album rock, soft rock, mellow gold, classic rock",1980,81,221234,61,0.139,0.803,0.521,0.00899,0.081,-7.775,0.0276,99.46,0.969,0,1,4
I Want You,"Retired from Sad, New Career in Business",2013-08-01,['Mitski'],"pov: indie, brooklyn indie",2003,95,183792,74,0.514,0.339,0.292,0.0,0.0713,-11.294,0.0348,131.702,0.0655,3,1,3
Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,,['Backstreet Boys'],"dance pop, boy band, pop",1998,22,287293,61,0.00609,0.792,0.81,0.000153,0.224,-5.198,0.0368,108.054,0.509,10,0,4
Why,Kiss Of Death,2004-01-01,"['Jadakiss', 'Anthony Hamilton']","battle rap, new jack swing, urban contemporary, east coast hip hop, hardcore hip hop, trap, contemporary r&b, neo soul, r&b",2004,62,240000,52,0.0164,0.602,0.938,0.0,0.0612,-3.378,0.238,168.417,0.562,1,0,4
Standing Still,This Way,2001-10-30,['Jewel'],"alaska indie, lilith, permanent wave, singer-songwriter, pop rock, ectofolk",2002,87,270333,51,0.152,0.614,0.681,7.32e-06,0.0797,-6.616,0.0337,123.898,0.341,2,1,4
Lonely Boy,What's Wrong with This Picture?,,['Andrew Gold'],underground power pop,1977,50,264893,58,0.0386,0.588,0.598,5.83e-05,0.107,-13.288,0.0296,123.724,0.866,9,1,4
I Don't Fuck With You,Dark Sky Paradise,2015-02-24,"['Big Sean', 'E-40']","southern hip hop, detroit hip hop, oakland hip hop, trap, cali rap, gangster rap, rap, hip hop, pop rap, r&b, hyphy, west coast rap",2015,47,284386,76,0.0362,0.824,0.733,0.0,0.325,-5.474,0.0613,97.972,0.395,1,1,4
We Didn't Start the Fire,Storm Front,1989-10-17,['Billy Joel'],"soft rock, album rock, heartland rock, piano rock, singer-songwriter, classic rock, rock, mellow gold",1990,35,287733,77,0.0771,0.712,0.967,0.0,0.356,-5.206,0.047,145.024,0.895,7,1,4
They Want EFX,Dead Serious,1992-04-07,['Das EFX'],"east coast hip hop, hardcore hip hop",1992,99,221400,54,0.115,0.755,0.459,0.0,0.0851,-12.84,0.358,98.454,0.597,5,0,4
The Next Episode,2001,1999-11-16,"['Dr. Dre', 'Snoop Dogg']","gangster rap, rap, west coast rap, g funk, hip hop, pop rap",2000,76,161506,83,0.0281,0.922,0.909,0.0,0.0856,-2.429,0.27,95.295,0.309,10,0,4
I Can't Sleep Baby (If I),R. Kelly,1995-11-10,['R. Kelly'],,1996,27,330720,41,0.23,0.701,0.515,0.0,0.262,-7.899,0.0326,120.202,0.232,4,0,4
Build Me Up Buttercup,From the Foundations (Expanded Edition),1967-01-01,['The Foundations'],bubblegum pop,1969,9,177519,71,0.242,0.564,0.555,0.0,0.244,-9.07,0.0293,67.082,0.882,0,1,4
Just the Way You Are,The Stranger (Legacy Edition),,['Billy Joel'],"heartland rock, rock, piano rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1978,17,290573,73,0.703,0.589,0.453,2.54e-05,0.134,-8.912,0.0397,139.148,0.513,7,1,4
Would I Lie To You?,Duophonic,1992-01-01,['Charles & Eddie'],neo soul,1992,90,279600,70,0.473,0.547,0.538,0.0,0.0369,-11.39,0.0567,202.408,0.718,11,0,4
Secret Agent Man,Greatest Hits,1998-01-01,['Johnny Rivers'],bubblegum pop,1966,47,185493,46,0.0238,0.539,0.452,0.0197,0.944,-16.838,0.0461,163.101,0.928,4,0,4
Pilot of the Airwaves,Where to Now,1979-06-12,['Charlie Dore'],,1980,77,235115,34,0.671,0.62,0.426,0.000706,0.102,-13.791,0.0352,119.65,0.614,2,1,4
Let's Groove,Raise!,1981-11-14,"['Earth, Wind & Fire']","jazz funk, funk, soul, disco",1982,33,339320,78,0.121,0.869,0.648,2.17e-05,0.126,-8.698,0.0633,125.035,0.9,11,0,4
Shape of You,÷ (Deluxe),2017-03-03,['Ed Sheeran'],"pop, uk pop",2017,1,233712,88,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,1,0,4
Hypnotized (feat. Akon),The Real Testament,2007-08-06,"['Plies', 'Akon']","southern hip hop, dance pop, miami hip hop, dirty south rap, trap",2008,77,188493,68,0.16,0.84,0.571,0.0,0.406,-7.421,0.0797,116.59,0.617,10,1,4
Come and Get Your Love - Radio Edit,Another Night,1995-03-28,['Real McCoy'],"german techno, hip house, diva house, eurodance",1995,69,194560,44,0.0179,0.736,0.864,1.62e-05,0.345,-6.567,0.0397,108.828,0.763,8,1,4
Caught Up,Confessions (Expanded Edition),2004-03-23,['Usher'],"dance pop, urban contemporary, south carolina hip hop, rap, pop, atl hip hop, contemporary r&b, r&b",2005,34,224640,66,0.027,0.817,0.806,9e-06,0.119,-4.606,0.0623,110.086,0.805,6,1,4
I Still Can't Get Over Loving You,Woman Out of Control (Expanded Edition),,['Ray Parker Jr.'],,1984,77,247653,24,0.22,0.611,0.502,0.000106,0.0779,-13.684,0.0387,83.28,0.562,1,1,4
Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),2018-11-30,"['Clean Bandit', 'Sean Paul', 'Anne-Marie']","dancehall, uk dance, dance pop, pop rap, uk funky, pop",2017,44,251173,74,0.383,0.717,0.73,0.0,0.398,-4.729,0.0568,102.002,0.792,9,0,4
You Proof,One Thing At A Time,2023-03-03,['Morgan Wallen'],contemporary country,2022,27,157477,86,0.265,0.732,0.839,0.0,0.602,-5.007,0.0345,119.724,0.629,9,1,4
I Don't Know How To Love Him,Love Songs,1997-01-01,['Helen Reddy'],"mellow gold, bubblegum pop, soft rock, adult standards",1971,50,198866,50,0.701,0.27,0.312,0.00257,0.116,-11.306,0.0279,79.593,0.345,3,1,3
'65 Love Affair,Radio Hits Of the '80s,,['Paul Davis'],"soft rock, yacht rock",1982,39,219813,39,0.432,0.647,0.686,6.19e-06,0.133,-4.247,0.0274,155.697,0.952,2,0,4
There It Go (The Whistle Song),What The Game's Been Missing!,2005-01-01,['Juelz Santana'],"gangster rap, nyc rap, trap, harlem hip hop, pop rap",2006,58,180493,61,0.023,0.942,0.892,0.000897,0.264,-6.363,0.196,100.007,0.595,6,0,4
Survivor,Survivor,2001-05-01,"[""Destiny's Child""]","dance pop, urban contemporary, girl group, pop, r&b",2001,23,254026,73,0.0559,0.514,0.911,0.0,0.775,-2.027,0.41,161.109,0.619,1,0,4
Native New Yorker,Odyssey (Expanded Edition),,['Odyssey'],"post-disco, hammond organ, disco",1978,91,259733,47,0.0385,0.539,0.921,0.000102,0.655,-6.662,0.138,109.787,0.69,1,1,4
Rise,Rise,1979-09-01,['Herb Alpert'],jazz trumpet,1979,80,457400,55,0.134,0.814,0.453,0.834,0.0879,-10.802,0.0412,99.265,0.903,10,1,4
What Makes You Beautiful,Up All Night,2012-05-25,['One Direction'],"pop, post-teen pop, talent show, boy band",2012,10,199986,86,0.009,0.726,0.787,0.0,0.0596,-2.494,0.0737,124.99,0.888,4,1,4
Bartender (feat. Akon),Epiphany (Expanded Edition),2007-06-05,"['T-Pain', 'Akon']","gangster rap, southern hip hop, dance pop, urban contemporary, rap, trap, hip hop, pop rap, r&b",2007,33,238800,75,0.0564,0.832,0.391,0.0,0.224,-8.504,0.0628,104.961,0.436,8,1,4
Bristol Stomp,The Best Of The Dovells 1961-1965,2005-10-18,['The Dovells'],"doo-wop, rhythm and blues",1961,22,138893,39,0.626,0.655,0.77,0.0,0.541,-6.338,0.0649,105.394,0.9,2,1,4
"Love Somebody - from ""Hard to Hold"" - Original Soundtrack",Hard To Hold,1984-04-07,['Rick Springfield'],"heartland rock, new wave pop, glam metal, hard rock, yacht rock, australian rock, album rock, soft rock, mellow gold, new romantic, classic rock",1984,62,213986,46,0.0151,0.566,0.892,0.000406,0.0873,-4.698,0.0339,138.569,0.71,4,1,4
Take A Little Ride,Night Train,2012-10-16,['Jason Aldean'],"country road, contemporary country, modern country rock, country",2012,88,187613,61,0.044,0.472,0.866,0.0,0.213,-3.771,0.0413,163.867,0.775,2,1,4
Bossy Featuring Too $hort (feat. Too $hort),Kelis Was Here,2006-08-22,"['Kelis', 'Too $hort']","gangster rap, hip pop, dance pop, cali rap, urban contemporary, west coast rap, golden age hip hop, oakland hip hop, neo soul, hyphy",2006,64,274946,52,0.000185,0.906,0.624,6.21e-06,0.0608,-5.556,0.179,84.009,0.775,4,1,4
Across The Alley From The Alamo,The Anthology: 1931 - 1968,1995-01-01,['The Mills Brothers'],"vocal harmony group, swing",1947,25,150373,25,0.906,0.788,0.17,0.0,0.145,-14.957,0.0633,140.96,0.708,6,1,1
Time After Time,Ready for the World,,['INOJ'],atlanta bass,1998,64,255673,45,0.223,0.776,0.563,0.00611,0.0681,-8.84,0.0324,131.728,0.395,0,1,4
This Is America,This Is America,2018-05-06,['Childish Gambino'],"atl hip hop, rap, hip hop",2018,51,225773,72,0.117,0.854,0.463,0.0,0.354,-6.159,0.137,120.024,0.549,5,1,4
Reach Out I'll Be There,Reach Out,1967-07-01,['Four Tops'],"disco, classic soul, quiet storm, motown, soul",1966,5,178533,64,0.0253,0.607,0.599,0.0,0.188,-8.908,0.0282,119.842,0.735,3,0,4
Ride Like the Wind,Christopher Cross,1979-12-20,['Christopher Cross'],"soft rock, yacht rock, mellow gold",1980,17,275506,65,0.335,0.669,0.702,0.000545,0.0962,-13.647,0.0439,124.339,0.823,0,0,4
"Hush, Hush, Sweet Charlotte","Hush, Hush Sweet Charlotte",1965-07-22,['Patti Page'],"easy listening, adult standards",1965,40,152360,31,0.782,0.335,0.163,0.0,0.316,-17.254,0.031,84.315,0.513,10,1,4
Psychotic Reaction,Psychotic Reaction,1966-01-01,['Count Five'],"psychedelic rock, classic garage rock, protopunk",1966,56,185523,55,0.000259,0.358,0.753,0.0199,0.266,-6.641,0.0986,164.896,0.688,11,1,4
CoCo,CoCo,2014-11-10,['O.T. Genasis'],"trap, southern hip hop",2015,79,239573,62,0.00215,0.886,0.628,1.15e-05,0.31,-5.949,0.131,119.906,0.178,8,1,4
Life After You,Leave This Town,2009-07-14,['Daughtry'],"alternative metal, post-grunge, neo mellow, pop rock",2010,96,206413,58,0.0534,0.434,0.764,0.0,0.437,-3.45,0.0299,51.316,0.309,5,1,4
Stand by Me,Don't Play That Song (Mono),1962-08-20,['Ben E. King'],"rock-and-roll, soul",1987,67,180055,82,0.57,0.65,0.306,7.07e-06,0.0707,-9.443,0.0393,118.068,0.605,9,1,4
Back & Forth,Age Ain't Nothing But A Number,1994-05-22,['Aaliyah'],"hip pop, dance pop, urban contemporary, contemporary r&b, r&b",1994,24,231093,62,0.0698,0.706,0.727,5.31e-06,0.115,-8.06,0.0317,92.938,0.903,5,1,4
"Baby, I'm For Real","Baby, I'm For Real",1969-01-01,['The Originals'],"northern soul, motown, southern soul, classic soul",1969,92,201866,54,0.634,0.341,0.263,0.0,0.121,-12.011,0.0288,150.17,0.377,5,1,3
Runaway Train (2022 Remaster),Grave Dancers Union (2022 Remaster),1992-10-06,['Soul Asylum'],"post-grunge, alternative rock, permanent wave, grunge, pop rock",1993,22,266560,72,0.0132,0.613,0.72,0.0,0.104,-7.957,0.0425,117.341,0.561,0,1,4
This House,Make The Difference,1990-01-01,['Tracie Spencer'],"contemporary r&b, new jack swing",1991,45,306533,34,0.0303,0.74,0.738,0.00406,0.0324,-9.849,0.0399,112.589,0.971,6,0,4
What About Us (Remix) [feat. Black Rob],"Kima, Keisha & Pam",1998-10-27,"['Total', 'Black Rob']","hip pop, new jack swing, hardcore hip hop, dirty south rap, harlem hip hop, contemporary r&b, r&b",1997,74,243782,36,0.0143,0.736,0.721,0.0,0.0451,-6.188,0.0396,96.365,0.72,1,1,4
Western Union,Western Union,2006-02-01,['The Five Americans'],classic garage rock,1967,58,157720,32,0.473,0.319,0.475,0.0245,0.121,-12.053,0.0459,231.025,0.677,2,1,4
Take My Name,For You,2021-07-30,['Parmalee'],"country road, contemporary country, modern country rock, modern uplift",2022,82,157906,72,0.222,0.559,0.66,0.0,0.193,-4.143,0.0512,163.957,0.574,7,1,4
Witch Doctor,Ultimate Kids Halloween Party Album,2014-10-07,['David Seville'],novelty,1958,4,145360,37,0.726,0.627,0.624,0.0,0.146,-5.659,0.0482,139.305,0.897,7,1,4
Shotgun,Shotgun,1965-02-03,['Jr. Walker & The All Stars'],"classic soul, southern soul, soul, motown",1965,15,176626,58,0.155,0.751,0.683,7.83e-06,0.0611,-5.771,0.0338,120.983,0.631,1,1,4
Emotional Rescue - Remastered 2009,Emotional Rescue (2009 Re-Mastered),1980-06-20,['The Rolling Stones'],"rock, classic rock, album rock, british invasion",1980,53,339400,56,0.111,0.678,0.621,0.0973,0.0394,-5.478,0.0623,113.389,0.776,5,1,4
Move Bitch,Word Of Mouf,2001-01-01,"['Ludacris', 'Mystikal', 'I-20']","gangster rap, southern hip hop, dance pop, crunk, rap, dirty south rap, new orleans rap, trap, old school atlanta hip hop, atl hip hop, hip hop, pop rap",2002,55,270866,63,0.243,0.777,0.764,0.0,0.103,-5.681,0.141,177.868,0.174,1,1,4
Mission Bell - Original Gusto Recordings,Pop Mega-hits Of The 1960's - Volume 11 (Original Gusto Recordings),,['Donnie Brooks'],"doo-wop, deep adult standards",1960,64,144240,10,0.552,0.566,0.355,7.24e-05,0.651,-14.167,0.0324,81.851,0.728,2,1,4
Gitarzan - 1969 #8 Billboard chart hit Monument,Gitarzan,,['Ray Stevens'],"novelty, classic country pop",1969,61,187040,30,0.466,0.435,0.804,0.0,0.942,-8.48,0.169,93.83,0.727,0,1,3
Unholy,Single & Happy by Digster Pop,2023-02-10,"['Sam Smith', 'Kim Petras']","pop, transpop, alt z, uk pop",2022,98,156943,15,0.0138,0.719,0.454,4.83e-06,0.318,-7.384,0.0707,131.007,0.224,2,1,4
Pullin' Me Back,Hoodstar (Deluxe Edition),2006-01-01,"['Chingy', 'Tyrese']","hip pop, southern hip hop, crunk, urban contemporary, dirty south rap, contemporary r&b, pop rap, r&b",2006,63,234133,63,0.0825,0.786,0.511,0.0,0.12,-6.66,0.286,80.0,0.587,7,1,4
Somebody's Baby,The Next Voice You Hear - The Best Of Jackson Browne,1997-01-01,['Jackson Browne'],"heartland rock, country rock, folk rock, folk, piano rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1982,68,262733,63,0.146,0.741,0.742,1.64e-05,0.106,-7.822,0.0269,116.951,0.889,2,1,4
On Our Own,Ghostbusters II,1989-06-16,['Bobby Brown'],"contemporary r&b, new jack swing, urban contemporary, r&b",1989,19,294413,49,0.0035,0.659,0.899,0.0,0.0629,-6.207,0.0423,101.802,0.562,2,1,4
It's Five O'Clock Somewhere (with Jimmy Buffett),Playlist: The Very Best Of Alan Jackson,,"['Alan Jackson', 'Jimmy Buffett']",country,2003,65,230266,68,0.22,0.713,0.768,0.0,0.177,-6.702,0.0363,125.203,0.878,2,1,4
Cradle of Love,ROCK,1960-12-03,['Johnny Preston'],"rockabilly, doo-wop, rock-and-roll",1960,45,140173,39,0.272,0.45,0.592,0.0181,0.0852,-6.74,0.076,173.986,0.796,6,0,4
"Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"")","SOMEWHERE MY LOVE (Love Theme from ""Dr. Zhivago"") And Other Great Hits",,['The Ray Conniff Singers'],easy listening,1966,64,148626,48,0.867,0.477,0.259,0.0,0.238,-16.096,0.0264,88.59,0.374,7,1,3
Hit 'Em Up Style (Oops!),So Blu,2001-01-18,['Blu Cantrell'],"hip pop, urban contemporary",2001,11,250706,70,0.201,0.667,0.773,0.0,0.404,-4.983,0.0586,89.976,0.667,5,0,4
Rebel Rouser,The Best Of Duane Eddy,1965-11-24,['Duane Eddy'],"rock-and-roll, rockabilly, surf music",1958,46,153533,50,0.789,0.388,0.434,0.954,0.728,-11.997,0.0354,206.313,0.873,7,1,4
Hooked on a Feeling - Rerecorded,B.J. Thomas,2009-01-01,['B.J. Thomas'],"folk rock, classic country pop, soft rock, mellow gold, bubblegum pop, adult standards",1969,99,166520,54,0.401,0.347,0.476,0.0,0.124,-10.121,0.0312,129.652,0.54,9,1,4
You Keep Me Hangin' On,The Complete Atco Singles,,['Vanilla Fudge'],"acid rock, proto-metal, british blues, psychedelic rock, classic garage rock, blues rock",1968,77,175600,50,0.0593,0.229,0.86,0.000999,0.0901,-5.824,0.0554,86.337,0.158,9,1,4
Islands in the Stream,Dolly,2009-10-30,"['Dolly Parton', 'Kenny Rogers']","country, classic country pop, nashville sound, country dawn",1984,56,249360,71,0.681,0.592,0.473,0.0,0.0732,-9.834,0.0354,203.989,0.741,8,1,4
Come & Go (with Marshmello),Legends Never Die,2020-07-10,"['Juice WRLD', 'Marshmello']","chicago rap, melodic rap, edm, brostep, progressive electro house, rap, pop",2020,54,205484,80,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,0.535,0,1,4
Walk This Way (feat. Aerosmith),Raising Hell,1986-05-15,"['Run–D.M.C.', 'Aerosmith']","old school hip hop, hip hop, rap, golden age hip hop, hard rock, rock, album rock, queens hip hop, east coast hip hop, classic rock",1986,89,310386,71,0.0174,0.761,0.711,0.000101,0.0652,-7.989,0.0604,105.448,0.947,9,1,4
Mentirosa,Escape From Havana,1989-01-01,['Mellow Man Ace'],chicano rap,1990,99,258533,45,0.0678,0.966,0.505,0.0,0.197,-14.762,0.111,113.592,0.826,1,1,4
You Don't Know How It Feels,Wildflowers,1994-10-21,['Tom Petty'],"soft rock, album rock, hard rock, heartland rock, singer-songwriter, classic rock, rock, mellow gold",1995,61,289440,65,0.119,0.765,0.502,0.0011,0.171,-7.393,0.0321,144.204,0.836,9,1,4
Work It,Under Construction,2002-11-11,['Missy Elliott'],"hip pop, dance pop, urban contemporary, rap, virginia hip hop, hip hop, neo soul, pop rap, r&b",2002,54,263226,71,0.0778,0.884,0.677,0.0,0.0732,-5.603,0.283,101.868,0.584,1,1,4
True Colors,True Colors,1986-10-14,['Cyndi Lauper'],"dance pop, new wave pop, soft rock, permanent wave",1986,41,227600,72,0.701,0.397,0.207,3.07e-05,0.116,-13.155,0.0331,171.282,0.268,0,1,4
Don't Throw Your Love Away (Karaoke in the style of The Searchers),1964 Karaoke Classics Volume 2,2009-09-21,"[""1960's Karaoke Band""]",karaoke,1964,87,143882,0,7.8e-05,0.608,0.465,0.0571,0.0724,-10.139,0.0319,118.062,0.677,6,1,4
Heartache Tonight - 2013 Remaster,The Long Run (2013 Remaster),,['Eagles'],"heartland rock, rock, yacht rock, album rock, soft rock, mellow gold, classic rock",1980,47,265678,64,0.0778,0.81,0.511,0.000226,0.0714,-6.454,0.0409,113.153,0.858,0,1,4
I Just Can't Help Believing,Super Hits,,['B.J. Thomas'],"folk rock, classic country pop, soft rock, mellow gold, bubblegum pop, adult standards",1970,75,177626,42,0.483,0.554,0.464,0.0,0.174,-8.529,0.0266,134.475,0.537,5,1,4
Short People,Little Criminals,1977-09-23,['Randy Newman'],"singer-songwriter, movie tunes",1978,41,176933,48,0.731,0.68,0.617,0.0674,0.12,-5.849,0.0378,121.356,0.54,2,1,4
Good Feeling,Wild Ones,2012-06-22,['Flo Rida'],"pop, dance pop, pop rap, miami hip hop",2012,16,248133,79,0.0588,0.706,0.89,0.00286,0.306,-4.444,0.0688,128.011,0.684,1,0,4
Photograph,All the Right Reasons,2005-09-26,['Nickelback'],"post-grunge, alternative metal, canadian rock",2006,38,258920,70,0.000932,0.515,0.876,0.000166,0.136,-3.756,0.0292,145.916,0.385,8,1,4
"Can't Fight This Feeling - Live at Kemper Arena, Kansas City, MO - January 1985",The Second Decade Of Rock And Roll 1981 To 1991,,['REO Speedwagon'],"heartland rock, glam metal, hard rock, rock, album rock, soft rock, mellow gold, classic rock",1985,13,295266,36,0.16,0.447,0.477,0.0,0.451,-11.793,0.027,77.407,0.336,9,1,4
Nothin' My Love Can't Fix,Joey Lawrence,1993-01-01,['Joey Lawrence'],idol,1993,92,243266,29,0.0131,0.657,0.909,0.000623,0.211,-6.322,0.0918,106.122,0.606,7,1,4
Ex's & Oh's,Love Stuff,2015-02-13,['Elle King'],modern blues rock,2015,73,202173,74,0.0183,0.612,0.921,0.0,0.0576,-2.882,0.085,139.988,0.446,7,1,4
Lucid Dreams,Goodbye & Good Riddance,2018-12-10,['Juice WRLD'],"chicago rap, melodic rap, rap",2019,48,239835,86,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,0.218,6,0,4
Where Were You (When the World Stopped Turning),Patriotic Hits / American Songs,2023-05-23,['Alan Jackson'],country,2002,98,305093,0,0.473,0.642,0.388,0.0,0.0754,-9.194,0.0322,115.355,0.186,0,1,4
Put On,The Recession,2008-01-01,"['Jeezy', 'Kanye West']","gangster rap, southern hip hop, crunk, rap, dirty south rap, trap, old school atlanta hip hop, chicago rap, atl hip hop, hip hop",2008,68,321293,70,0.00342,0.654,0.77,0.0,0.0887,-6.091,0.0353,137.616,0.272,9,0,4
La-La Means I Love You,La La Means I Love You,,['The Delfonics'],"classic soul, quiet storm, philly soul, funk, soul",1968,23,200906,62,0.678,0.365,0.548,0.0,0.184,-7.727,0.0288,171.242,0.623,2,1,4
Layla,Layla And Other Assorted Love Songs (Remastered 2010),1970-11-01,['Derek & The Dominos'],"british blues, heartland rock, blues rock, electric blues, country rock, psychedelic rock, hard rock, rock, folk rock, album rock, mellow gold, singer-songwriter, classic rock",1972,60,423840,75,0.577,0.404,0.902,0.297,0.287,-3.88,0.0665,115.669,0.497,1,1,4
Oh Girl,20 Greatest Hits,,['The Chi-Lites'],"soul, funk, classic soul, southern soul, quiet storm, chicago soul, disco",1972,13,216280,55,0.226,0.418,0.402,0.0,0.103,-12.942,0.0288,133.683,0.601,10,1,4
Forever in Love,Breathless,,['Kenny G'],"smooth saxophone, smooth jazz",1993,73,299493,57,0.336,0.343,0.318,0.158,0.17,-14.901,0.0312,81.993,0.11,5,1,4
Say It Loud - I'm Black And I'm Proud - Pt. 1,The 50th Anniversary Collection,2003-01-01,['James Brown'],"funk, soul",1968,90,167186,42,0.386,0.85,0.66,0.00235,0.0449,-6.323,0.193,115.076,0.926,3,1,4
Boogie Woogie Bugle Boy,Rarities,1984-01-01,['The Andrews Sisters'],"vocal harmony group, swing, adult standards, torch song",1946,30,161933,51,0.881,0.64,0.479,0.000171,0.0973,-11.55,0.467,166.868,0.79,7,1,4
Tequila,Greatest Hits / Tequila,1994-04-19,['The Champs'],surf music,1958,8,135240,62,0.121,0.671,0.742,0.679,0.0601,-9.912,0.0441,89.748,0.897,5,1,4
Keep It Comin' Love,"KC & the Sunshine Band, Pt. 3... and More",2004-10-26,['KC & The Sunshine Band'],"soul, new wave pop, soft rock, mellow gold, disco",1977,75,271493,52,0.232,0.773,0.721,1.61e-05,0.0349,-12.574,0.0294,110.383,0.971,3,1,4
The King of Wishful Thinking,Indian Summer,1992-11-14,['Go West'],"new wave pop, new wave, synthpop, new romantic",1990,70,241760,66,0.0331,0.669,0.869,0.0,0.0991,-7.378,0.0525,107.887,0.919,0,1,4
Fortress Around Your Heart,The Dream Of The Blue Turtles,1985-01-01,['Sting'],"permanent wave, soft rock, sophisti-pop",1985,95,279693,53,0.294,0.681,0.476,6.18e-06,0.079,-15.447,0.0294,120.535,0.668,7,1,4
To Sir with Love,To Sir With Love,1967-05-12,['Lulu'],british invasion,1967,1,166693,50,0.361,0.546,0.399,3.18e-06,0.0995,-9.378,0.027,97.142,0.301,4,1,4
goosebumps,Birds In The Trap Sing McKnight,2016-09-16,['Travis Scott'],"slap house, rap, hip hop",2017,68,243836,86,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,0.43,7,1,4
lately - Demo,lately (Demo),2022-12-07,['Divine Simisi'],,1998,61,212509,0,0.945,0.727,0.137,0.0,0.381,-14.116,0.177,85.299,0.205,0,1,3
Foolish Beat,Out Of The Blue,,['Debbie Gibson'],"new wave pop, freestyle, soft rock",1988,32,262413,57,0.267,0.541,0.44,2.33e-06,0.147,-11.161,0.0258,78.299,0.343,10,0,4
Dynomite,Funked! : Volume 2 1973-1977,2001-01-01,['Bazuka'],rare groove,1975,52,309466,21,0.124,0.672,0.683,0.772,0.314,-14.134,0.0474,101.91,0.959,0,1,4
On The Radio,On The Radio: Greatest Hits Volumes I & II,1979-10-15,['Donna Summer'],"new wave pop, hi-nrg, soft rock, adult standards, disco",1980,52,241506,64,0.113,0.734,0.45,1.13e-05,0.296,-13.92,0.035,127.46,0.595,4,0,4
Said I Loved You...But I Lied,The One Thing,,['Michael Bolton'],soft rock,1994,32,304866,66,0.189,0.547,0.569,7.05e-06,0.156,-8.644,0.0271,159.713,0.432,10,1,4
All I Want for Christmas Is You,Merry Christmas,1994-10-28,['Mariah Carey'],"pop, dance pop, urban contemporary",2020,67,241106,68,0.164,0.336,0.627,0.0,0.0708,-7.463,0.0384,150.273,0.35,7,1,4
"Look What They've Done to My Song, Ma",Beautiful People,,['The New Seekers'],"rock-and-roll, merseybeat, bubblegum pop, classic uk pop",1970,96,202906,14,0.583,0.412,0.456,0.0,0.274,-11.397,0.0339,137.296,0.401,9,1,4
Someday,The Long Road,2003-09-23,['Nickelback'],"post-grunge, alternative metal, canadian rock",2004,17,207466,73,0.000616,0.455,0.858,0.000247,0.226,-5.659,0.0391,163.118,0.597,11,0,4
Go Away Little Girl,"To You With Love, Donny",1971-10-11,['Donny Osmond'],"movie tunes, bubblegum pop",1971,7,150600,39,0.72,0.302,0.521,4.74e-06,0.123,-5.391,0.0354,101.814,0.364,7,1,4
Disco Inferno,The Massacre,2005-03-03,['50 Cent'],"gangster rap, queens hip hop, east coast hip hop, rap, hip hop, pop rap",2005,11,214226,75,0.206,0.925,0.659,7.88e-05,0.279,-4.763,0.231,97.018,0.71,3,1,4
You're Gonna Miss This,American Man: Greatest Hits Vol. II,2007-12-04,['Trace Adkins'],"contemporary country, country road, country",2008,93,224960,65,0.0237,0.5,0.665,6.41e-05,0.0994,-7.157,0.0355,154.997,0.32,8,1,4
Praying for Time - Remastered,Listen Without Prejudice / MTV Unplugged (Deluxe),2017-10-20,['George Michael'],new wave pop,1990,51,280980,50,0.0471,0.582,0.622,0.0162,0.0915,-14.878,0.0354,127.821,0.257,10,1,4
